"id","text","label","source_site","source_url","source_context","notes"
"20","So I read Row 9-12 as decreasing overall an additional 4 sts making 84?","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-pattern-help/170747","Crochet Pattern Help","public excerpt"
"21","Is the pattern wrong or me? I really don't want to undo all my work.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-pattern-help/170747","Crochet Pattern Help","public excerpt"
"22","Can you tell us the name and designer of your pattern, please?","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-pattern-help/170747","Crochet Pattern Help","public excerpt"
"23","It looks like the pattern does take into account the decrease of 4 sts over rows 9-12.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-pattern-help/170747","Crochet Pattern Help","public excerpt"
"24","A short section of the pattern would be fine. We can't post large portions due to designer copyright.","meta_opinion","KnittingHelp","https://forum.knittinghelp.com/t/crochet-pattern-help/170747","Crochet Pattern Help","public excerpt"
"25","I wonder if it should say Rows 9-12 as Row 8?","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-pattern-help/170747","Crochet Pattern Help","public excerpt"
"26","What is the gauge/tension you're working at?","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-pattern-help/170747","Crochet Pattern Help","public excerpt"
"27","Hi. I'm making my first hat and it's just turning out like a pancake.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-hat-problem/70917","Crochet Hat Problem","public excerpt"
"28","What am I doing wrong? Do all hats do this until the end?","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-hat-problem/70917","Crochet Hat Problem","public excerpt"
"29","It would be really helpful if you could provide a link to the pattern you are using.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-hat-problem/70917","Crochet Hat Problem","public excerpt"
"30","It sounds like you are still increasing and that is why it is a pancake shape.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-hat-problem/70917","Crochet Hat Problem","public excerpt"
"31","Usually it takes a couple inches after you stop the increases for it to begin to curve.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-hat-problem/70917","Crochet Hat Problem","public excerpt"
"32","I do way more crocheting than knitting, and I make a ton of hats.","meta_opinion","KnittingHelp","https://forum.knittinghelp.com/t/crochet-hat-problem/70917","Crochet Hat Problem","public excerpt"
"33","Sometimes it's easy to get confused on where to end and begin the next row.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-hat-problem/70917","Crochet Hat Problem","public excerpt"
"34","How do your stitch numbers match up with what you should have by then?","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-hat-problem/70917","Crochet Hat Problem","public excerpt"
"35","I am redoing from row 9 and the last four rows have had 61 sc.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-hat-problem/70917","Crochet Hat Problem","public excerpt"
"36","The same exact thing is happening to me and I'm a new crocheter.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-hat-problem/70917","Crochet Hat Problem","public excerpt"
"37","You might find this video helpful.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-hat-problem/70917","Crochet Hat Problem","public excerpt"
"38","The crown being flat shouldn't be a problem.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-hat-problem/70917","Crochet Hat Problem","public excerpt"
"39","I have made a top with dc vertically. It is too short.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-please-help-joining-2-pieces-of-dc-top-together-not-using-slip-mattress-or-invisible-stitch/166064","Joining crochet pieces","public excerpt"
"40","What other way can I attach them?","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-please-help-joining-2-pieces-of-dc-top-together-not-using-slip-mattress-or-invisible-stitch/166064","Joining crochet pieces","public excerpt"
"41","There is the Bickford seam which isn't the sturdiest but this shouldn't be an area that needs strain.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-please-help-joining-2-pieces-of-dc-top-together-not-using-slip-mattress-or-invisible-stitch/166064","Joining crochet pieces","public excerpt"
"42","What I would suggest is to attach it while crocheting the last row of extension.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-please-help-joining-2-pieces-of-dc-top-together-not-using-slip-mattress-or-invisible-stitch/166064","Joining crochet pieces","public excerpt"
"43","A photo of your work if possible would be helpful.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-please-help-joining-2-pieces-of-dc-top-together-not-using-slip-mattress-or-invisible-stitch/166064","Joining crochet pieces","public excerpt"
"44","If you can't hide it, feature it!","critique_feedback","KnittingHelp","https://forum.knittinghelp.com/t/crochet-please-help-joining-2-pieces-of-dc-top-together-not-using-slip-mattress-or-invisible-stitch/166064","Joining crochet pieces","public excerpt"
"45","Use a totally different stitch pattern, or different color, or both.","critique_feedback","KnittingHelp","https://forum.knittinghelp.com/t/crochet-please-help-joining-2-pieces-of-dc-top-together-not-using-slip-mattress-or-invisible-stitch/166064","Joining crochet pieces","public excerpt"
"46","It was a bit like sewing with a hook.","meta_opinion","KnittingHelp","https://forum.knittinghelp.com/t/crochet-please-help-joining-2-pieces-of-dc-top-together-not-using-slip-mattress-or-invisible-stitch/166064","Joining crochet pieces","public excerpt"
"47","Am doing a Christian robe am stuck at part, can anyone help me","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/need-help-with-pattern/165597","Need help with pattern","public excerpt"
"48","What pattern is this? If it's online could you provide a link please.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/need-help-with-pattern/165597","Need help with pattern","public excerpt"
"49","We also need to know exactly what you're stuck on.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/need-help-with-pattern/165597","Need help with pattern","public excerpt"
"50","I'm crocheting a stuffed snake for my friend and I'm having trouble understanding a specific step.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/need-help-reading-a-pattern-step/165564","Need help reading a pattern step","public excerpt"
"51","I'm not sure if it's asking me to do 2 single crochets and an increase.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/need-help-reading-a-pattern-step/165564","Need help reading a pattern step","public excerpt"
"52","As I read it sc, sc, 2 sc in the next st.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/need-help-reading-a-pattern-step/165564","Need help reading a pattern step","public excerpt"
"53","That should work if you have 15 stitches.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/need-help-reading-a-pattern-step/165564","Need help reading a pattern step","public excerpt"
"54","When counting how many stitches you have available to work into, count inc as 1, not 2.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/need-help-reading-a-pattern-step/165564","Need help reading a pattern step","public excerpt"
"55","Okay, I figured out I misread it originally thanks for the help!","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/need-help-reading-a-pattern-step/165564","Need help reading a pattern step","public excerpt"
"56","Easy to do! We've all been there.","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/need-help-reading-a-pattern-step/165564","Need help reading a pattern step","public excerpt"
"57","I'm following a Leisure Art pattern for Alluring Fisherman Blanket.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/stuck-on-a-cable-stitch/165210","Stuck on a cable stitch","public excerpt"
"58","I've never made a cable stitch like this. Any suggestions would be helpful.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/stuck-on-a-cable-stitch/165210","Stuck on a cable stitch","public excerpt"
"59","Maybe seeing the results someone else got will help.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/stuck-on-a-cable-stitch/165210","Stuck on a cable stitch","public excerpt"
"60","My cables look more inverted than puffy. Obviously my technique is way off.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/stuck-on-a-cable-stitch/165210","Stuck on a cable stitch","public excerpt"
"61","Could you post a photo of your work showing the problem?","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/stuck-on-a-cable-stitch/165210","Stuck on a cable stitch","public excerpt"
"62","Is it possible you just need to push the stitches through so they are puffing on the right side?","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/stuck-on-a-cable-stitch/165210","Stuck on a cable stitch","public excerpt"
"63","Are you possibly confusing FPDC and BPDC?","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/stuck-on-a-cable-stitch/165210","Stuck on a cable stitch","public excerpt"
"64","This person says she did Trebles for the crosses, which is also common.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/stuck-on-a-cable-stitch/165210","Stuck on a cable stitch","public excerpt"
"65","I'm so grateful for your help. I'm trying to post a picture of the mess I'm making.","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/stuck-on-a-cable-stitch/165210","Stuck on a cable stitch","public excerpt"
"66","I think your cable stitches worked with fpdc aren't crossed correctly.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/stuck-on-a-cable-stitch/165210","Stuck on a cable stitch","public excerpt"
"67","I decided to attempt the instructions you posted and here's what I got.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/stuck-on-a-cable-stitch/165210","Stuck on a cable stitch","public excerpt"
"68","I don't see your FPDC stitches criss-crossing at all.","critique_feedback","KnittingHelp","https://forum.knittinghelp.com/t/stuck-on-a-cable-stitch/165210","Stuck on a cable stitch","public excerpt"
"69","Maybe practice some of this type on a swatch until you get the hang of how to cross the stitches.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/stuck-on-a-cable-stitch/165210","Stuck on a cable stitch","public excerpt"
"70","All of these suggestions are amazing. Thank you so much!","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/stuck-on-a-cable-stitch/165210","Stuck on a cable stitch","public excerpt"
"71","It seems the way the pattern reads the WS should be done using the BPDC.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/stuck-on-a-cable-stitch/165210","Stuck on a cable stitch","public excerpt"
"72","Are the comments from the Ravelry posters any help?","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/stuck-on-a-cable-stitch/165210","Stuck on a cable stitch","public excerpt"
"73","Getting yarn and a hook now...","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/stuck-on-a-cable-stitch/165210","Stuck on a cable stitch","public excerpt"
"74","All of the post stitches are worked by inserting the hook into the front of the fabric.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/stuck-on-a-cable-stitch/165210","Stuck on a cable stitch","public excerpt"
"75","Wow, that's exactly how I would like it to look, but having no luck.","critique_feedback","KnittingHelp","https://forum.knittinghelp.com/t/stuck-on-a-cable-stitch/165210","Stuck on a cable stitch","public excerpt"
"76","I can work another row and take stitch-by-stitch photos, if you think that would help?","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/stuck-on-a-cable-stitch/165210","Stuck on a cable stitch","public excerpt"
"77","Using the markers was genius. I've had my AHA moment.","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/stuck-on-a-cable-stitch/165210?page=2","Stuck on a cable stitch page 2","public excerpt"
"78","I love using markers to color-code things.","meta_opinion","KnittingHelp","https://forum.knittinghelp.com/t/stuck-on-a-cable-stitch/165210?page=2","Stuck on a cable stitch page 2","public excerpt"
"79","I don't have a lot of crochet experience and thought I'd present it here in case someone knows an easy fix.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/shell-baby-blanket-mistake-help/165122","Shell baby blanket mistake help","public excerpt"
"80","Ouch. I wish I could help.","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/shell-baby-blanket-mistake-help/165122","Shell baby blanket mistake help","public excerpt"
"81","I wonder if a kind of duplicate stitch up and around the base of the shell above would work.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/shell-baby-blanket-mistake-help/165122","Shell baby blanket mistake help","public excerpt"
"82","It would be easy to fix if only that part is missing.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/shell-baby-blanket-mistake-help/165122","Shell baby blanket mistake help","public excerpt"
"83","Oh wow, thank you. I didn't even see that.","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/shell-baby-blanket-mistake-help/165122","Shell baby blanket mistake help","public excerpt"
"84","Try it with a short length of yarn and if you don't like the look, you can always pull the strand through.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/shell-baby-blanket-mistake-help/165122","Shell baby blanket mistake help","public excerpt"
"85","I am new-ish to crocheting. I'm struggling to get my tension sorted.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-tension/162634","Crochet tension","public excerpt"
"86","Tension is something you'll learn with time.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-tension/162634","Crochet tension","public excerpt"
"87","If you are crocheting straight from the ball your tension will be tight.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-tension/162634","Crochet tension","public excerpt"
"88","There's no right way to hold the yarn; it's whatever works for you.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-tension/162634","Crochet tension","public excerpt"
"89","Thanks for your efforts, but I'm loose not tight!","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-tension/162634","Crochet tension","public excerpt"
"90","Every blogger on the planet rambles for 2,000 words and has nothing practical to say.","meta_opinion","KnittingHelp","https://forum.knittinghelp.com/t/crochet-tension/162634","Crochet tension","public excerpt"
"91","You could look into a tension ring.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-tension/162634","Crochet tension","public excerpt"
"92","Even tension is something that comes with practice.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-tension/162634","Crochet tension","public excerpt"
"93","If you are a loose crocheter you might try going to a smaller hook size.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-tension/162634","Crochet tension","public excerpt"
"94","See if this video helps.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-tension/162634","Crochet tension","public excerpt"
"95","If your yarn is thicker then you'd naturally be needing a smaller hook to make gauge.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-tension/162634","Crochet tension","public excerpt"
"96","It can take a lot of experimenting to find the best hold for you.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-tension/162634","Crochet tension","public excerpt"
"97","So there is a great crocheter and a great knitter in your family? How nice!","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/crochet-tension/162634","Crochet tension","public excerpt"
"98","Would someone be able to advise me about the best yarn to crochet a tote bag with granny squares?","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/best-yarn-to-crochet-a-granny-square-tote-bag/160906","Best yarn for granny square tote","public excerpt"
"99","I'd use either acrylic or cotton yarn.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/best-yarn-to-crochet-a-granny-square-tote-bag/160906","Best yarn for granny square tote","public excerpt"
"100","For a tote bag that will get a lot of wear and tear I'd just stick with cheaper yarn.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/best-yarn-to-crochet-a-granny-square-tote-bag/160906","Best yarn for granny square tote","public excerpt"
"101","Questions are good, please don't apologize for asking.","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/best-yarn-to-crochet-a-granny-square-tote-bag/160906","Best yarn for granny square tote","public excerpt"
"102","I came across it on the site I tend to use for yarn shopping.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/best-yarn-to-crochet-a-granny-square-tote-bag/160906","Best yarn for granny square tote","public excerpt"
"103","The crochet patterns available look stunning.","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/best-yarn-to-crochet-a-granny-square-tote-bag/160906","Best yarn for granny square tote","public excerpt"
"104","You have been so helpful and I really appreciate it.","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/best-yarn-to-crochet-a-granny-square-tote-bag/160906","Best yarn for granny square tote","public excerpt"
"105","The brand of yarn doesn't matter. The point is, it's inexpensive.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/best-yarn-to-crochet-a-granny-square-tote-bag/160906","Best yarn for granny square tote","public excerpt"
"106","I like that pattern. I was going to suggest a lining and this pattern has that.","critique_feedback","KnittingHelp","https://forum.knittinghelp.com/t/best-yarn-to-crochet-a-granny-square-tote-bag/160906","Best yarn for granny square tote","public excerpt"
"107","If you want a larger bag, just make larger granny squares.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/best-yarn-to-crochet-a-granny-square-tote-bag/160906","Best yarn for granny square tote","public excerpt"
"108","The opportunity to play around with colors could make it a great stash scraps buster.","meta_opinion","KnittingHelp","https://forum.knittinghelp.com/t/best-yarn-to-crochet-a-granny-square-tote-bag/160906","Best yarn for granny square tote","public excerpt"
"109","Are you wanting a basic granny square or something fancier?","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/best-yarn-to-crochet-a-granny-square-tote-bag/160906","Best yarn for granny square tote","public excerpt"
"110","You can make a granny square as large as you like just working the same round over and over.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/best-yarn-to-crochet-a-granny-square-tote-bag/160906","Best yarn for granny square tote","public excerpt"
"111","I thought I might ask about Tunisian crochet.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/tunisian-crochet/161008","Tunisian crochet","public excerpt"
"112","Can you buy a cheap set at a big box store?","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/tunisian-crochet/161008","Tunisian crochet","public excerpt"
"113","Is Tunisian crochet the same as Afghan crochet?","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/tunisian-crochet/161008","Tunisian crochet","public excerpt"
"114","Tunisian crochet is fun to work but I don't have much experience with it.","meta_opinion","KnittingHelp","https://forum.knittinghelp.com/t/tunisian-crochet/161008","Tunisian crochet","public excerpt"
"115","Tunisian crochet is what used to be called Afghan crochet.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/tunisian-crochet/161008","Tunisian crochet","public excerpt"
"116","While I liked the drape of the fabric, it seemed to just make crochet take as long as knitting.","meta_opinion","KnittingHelp","https://forum.knittinghelp.com/t/tunisian-crochet/161008","Tunisian crochet","public excerpt"
"117","Rule #1 for Tunisian: Go up at least two hook sizes.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/tunisian-crochet/161008","Tunisian crochet","public excerpt"
"118","You don't need to buy special hooks to try out TC.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/tunisian-crochet/161008","Tunisian crochet","public excerpt"
"119","I started TC with entrelac and then got hooked.","meta_opinion","KnittingHelp","https://forum.knittinghelp.com/t/tunisian-crochet/161008","Tunisian crochet","public excerpt"
"120","I tried out Tunisian a while back and worked a small washcloth.","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/tunisian-crochet/161008","Tunisian crochet","public excerpt"
"121","The latter was much less stiff and brought out the stitch pattern more.","critique_feedback","KnittingHelp","https://forum.knittinghelp.com/t/tunisian-crochet/161008","Tunisian crochet","public excerpt"
"122","Not at all what you asked, but if you're looking for more challenging crochet projects, try these designers.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/tunisian-crochet/161008","Tunisian crochet","public excerpt"
"123","Bundles like this are a great starter for a hobby and if you get really into it you can upgrade later.","meta_opinion","KnittingHelp","https://forum.knittinghelp.com/t/tunisian-crochet/161008","Tunisian crochet","public excerpt"
"124","I have learnt that we really do need to do a swatch to get our gauge prior to each project.","meta_opinion","KnittingHelp","https://forum.knittinghelp.com/t/tunisian-crochet/161008","Tunisian crochet","public excerpt"
"125","As always remember to stretch at regular intervals and have fun.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/tunisian-crochet/161008","Tunisian crochet","public excerpt"
"126","I love how they look. Several just got added to the to do list!","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/tunisian-crochet/161008","Tunisian crochet","public excerpt"
"127","I didn't want to buy an expensive set until I knew more about Tunisian crochet.","meta_opinion","KnittingHelp","https://forum.knittinghelp.com/t/tunisian-crochet/161008","Tunisian crochet","public excerpt"
"128","All of their patterns have been thoroughly tested, so it's very rare to find errors.","meta_opinion","KnittingHelp","https://forum.knittinghelp.com/t/tunisian-crochet/161008","Tunisian crochet","public excerpt"
"129","Post your works for fellow community members to critique and provide feedback!","critique_feedback","WetCanvas","https://www.wetcanvas.com/forums/forum/the-wetcanvas-galleria/open-critique-forum/","Open Critique Forum listing","forum description"
"130","Style critique appreciated","critique_feedback","WetCanvas","https://www.wetcanvas.com/forums/forum/the-wetcanvas-galleria/open-critique-forum/","Open Critique Forum listing","thread title only"
"131","Need help and suggestions on improving values and contrast","critique_feedback","WetCanvas","https://www.wetcanvas.com/forums/forum/the-wetcanvas-galleria/open-critique-forum/","Open Critique Forum listing","thread title only"
"132","Help would be appreciated","critique_feedback","WetCanvas","https://www.wetcanvas.com/forums/forum/the-wetcanvas-galleria/open-critique-forum/","Open Critique Forum listing","thread title only"
"133","Shadowed Trail - Cowboy & Horse No 4","showcase_reaction","WetCanvas","https://www.wetcanvas.com/forums/forum/the-wetcanvas-galleria/open-critique-forum/","Open Critique Forum listing","thread title only"
"134","Seascape Coastal Concert","showcase_reaction","WetCanvas","https://www.wetcanvas.com/forums/forum/the-wetcanvas-galleria/open-critique-forum/","Open Critique Forum listing","thread title only"
"135","Fox in the briers water colour","showcase_reaction","WetCanvas","https://www.wetcanvas.com/forums/forum/the-wetcanvas-galleria/open-critique-forum/","Open Critique Forum listing","thread title only"
"136","My New WC painting","showcase_reaction","WetCanvas","https://www.wetcanvas.com/forums/forum/the-wetcanvas-galleria/open-critique-forum/","Open Critique Forum listing","thread title only"
"137","Some of my recent watercolor paintings","showcase_reaction","WetCanvas","https://www.wetcanvas.com/forums/forum/the-wetcanvas-galleria/open-critique-forum/","Open Critique Forum listing","thread title only"
"138","Join us for interesting and informative discussions of techniques, materials, and approaches to working with watercolors.","meta_opinion","WetCanvas","https://www.wetcanvas.com/forums/forum/explore-media/watercolor/","Watercolor forum listing","forum description"
"139","Learning demos, technical questions about watercolor materials, and painting tips go here.","technical_help","WetCanvas","https://www.wetcanvas.com/forums/forum/explore-media/watercolor/","Watercolor forum listing","forum description"
"140","If you are stuck and don't know where to go with a painting, ask for help from your friends in the Studio.","critique_feedback","WetCanvas","https://www.wetcanvas.com/forums/forum/explore-media/watercolor/","Watercolor forum listing","forum description"
"141","Zbukvic technique","technical_help","WetCanvas","https://www.wetcanvas.com/forums/forum/explore-media/watercolor/","Watercolor forum listing","thread title only"
"142","I Purchased All My Watercolor Materials and Have Been Doing Urban Sketches","showcase_reaction","WetCanvas","https://www.wetcanvas.com/forums/forum/explore-media/watercolor/","Watercolor forum listing","thread title only"
"143","Disposing of watercolor dirty water","technical_help","WetCanvas","https://www.wetcanvas.com/forums/forum/explore-media/watercolor/","Watercolor forum listing","thread title only"
"144","Back after 5 years. Paint advice needed","critique_feedback","WetCanvas","https://www.wetcanvas.com/forums/forum/explore-media/watercolor/","Watercolor forum listing","thread title only"
"145","What to do when there is no natural shadow?","technical_help","WetCanvas","https://www.wetcanvas.com/forums/forum/explore-media/watercolor/","Watercolor forum listing","thread title only"
"146","Wax medium or varnish for framing without glass","technical_help","WetCanvas","https://www.wetcanvas.com/forums/forum/explore-media/watercolor/","Watercolor forum listing","thread title only"
"147","Grass and the Park (Urban Sketching)","showcase_reaction","WetCanvas","https://www.wetcanvas.com/forums/forum/explore-media/watercolor/","Watercolor forum listing","thread title only"
"148","Dog Prince Charles watercolor WIP","showcase_reaction","WetCanvas","https://www.wetcanvas.com/forums/forum/explore-media/watercolor/","Watercolor forum listing","thread title only"
"149","There isn't really any pattern to the shadow work. The shadows seem fairly randomly placed rather than the shadows being cast by something. I would recommend trying to design a shadow pattern.","critique_feedback","WetCanvas","https://www.wetcanvas.com/forums/topic/critique-request-landscape-watercolor/","Critique request: landscape watercolor","public forum post"
"150","I think you did a fairly good job of having the sun's warmth in the colors on the trees, but a bit less well on the colors of the rocks.","critique_feedback","WetCanvas","https://www.wetcanvas.com/forums/topic/critique-request-landscape-watercolor/","Critique request: landscape watercolor","public forum post"
